trade_date,open,high,low,close,adj_close,vol
2005/1/4,3848.26001,3874.469971,3845.030029,3863.300049,3863.300049,82249400
2005/1/5,3834.070068,3845.280029,3828.810059,3829.360107,3829.360107,86935200
2005/1/6,3831.840088,3864.360107,3831.050049,3856.47998,3856.47998,87290200
2005/1/7,3851.879883,3883.919922,3848.949951,3877.959961,3877.959961,104805600
2005/1/10,3890.389893,3890.389893,3860.149902,3877.820068,3877.820068,88395400
2005/1/11,3897.360107,3897.360107,3841.25,3848.98999,3848.98999,118625400
2005/1/12,3852.26001,3856.699951,3804.919922,3816.139893,3816.139893,112647400
2005/1/13,3834.899902,3844.570068,3821.610107,3834.110107,3834.110107,93274800
2005/1/14,3821.620117,3861.959961,3820.929932,3854.600098,3854.600098,92154400
2005/1/17,3865.399902,3881.439941,3861.350098,3881.439941,3881.439941,57362200
2005/1/18,3875.159912,3877.540039,3847.320068,3875.02002,3875.02002,104871200
2005/1/19,3883.439941,3892.189941,3864.659912,3869.01001,3869.01001,94446200
2005/1/20,3847.320068,3852.629883,3834.110107,3842.439941,3842.439941,18674800
2005/1/21,3829.159912,3857.820068,3829.159912,3854.189941,3854.189941,76584200
2005/1/24,3840.570068,3854.439941,3819.949951,3848.709961,3848.709961,97262200
2005/1/25,3846.810059,3887.179932,3844.030029,3882.040039,3882.040039,95183400
2005/1/26,3885.719971,3892.350098,3877.570068,3879.820068,3879.820068,83481000
2005/1/27,3892.040039,3892.939941,3861.659912,3891.399902,3891.399902,99218600
2005/1/28,3897.570068,3899.419922,3868.879883,3870.350098,3870.350098,73269000
2005/1/31,3895.899902,3913.919922,3893.75,3913.689941,3913.689941,86741600
2005/2/1,3914.209961,3939.179932,3908.800049,3939.179932,3939.179932,92981800
2005/2/2,3947.409912,3951.719971,3935.25,3951.719971,3951.719971,94364600
2005/2/3,3946.02002,3953.580078,3921.22998,3928.939941,3928.939941,177341800
2005/2/4,3942.719971,3960.27002,3928.419922,3958.01001,3958.01001,109384200
2005/2/7,3968.969971,3982.669922,3968.25,3981.899902,3981.899902,98357800
2005/2/8,3980.719971,3984.679932,3968.530029,3980.77002,3980.77002,94875600
2005/2/9,3986.689941,3991.090088,3955.669922,3969.620117,3969.620117,92926600
2005/2/10,3970.840088,3986.810059,3956.879883,3970.370117,3970.370117,89321600
2005/2/11,3978.300049,4016.75,3978.300049,4016.75,4016.75,98484400
