trade_date,open,high,low,close,adj_close,vol
2005/1/5,13939.01953,13941.12988,13709.58008,13764.36035,13764.36035,530200600
2005/1/6,13718.79004,13789.15039,13672.55957,13712.04004,13712.04004,418761600
2005/1/7,13698.16016,13771.4502,13403,13574.86035,13574.86035,571206400
2005/1/10,13573.41992,13605.01953,13435.42969,13531.38965,13531.38965,317377800
2005/1/11,13609.30957,13649.42969,13455.30957,13509.25,13509.25,340797200
2005/1/12,13456.54004,13565.30957,13352.70996,13565.30957,13565.30957,336973200
2005/1/13,13570.21973,13631.41016,13533.00977,13573.28027,13573.28027,396311200
2005/1/14,13509.45996,13582.54004,13411.30957,13494.78027,13494.78027,473364600
2005/1/17,13529.08008,13636.76953,13528.11035,13621.65039,13621.65039,261016000
2005/1/18,13621.95996,13621.95996,13489.99023,13604.21973,13604.21973,289845400
2005/1/19,13634.00977,13700.94043,13586.33984,13678.62988,13678.62988,304025000
2005/1/20,13550.98047,13585.66992,13500.58008,13543.58984,13543.58984,460342600
2005/1/21,13495.92969,13518.69043,13432.45996,13481.01953,13481.01953,476200200
2005/1/24,13449.87988,13483.12988,13320.53027,13386.99023,13386.99023,450783600
2005/1/25,13378.83984,13594.86035,13356.24023,13584.05957,13584.05957,319826200
2005/1/26,13599.2002,13652.4502,13558.03027,13623.67969,13623.67969,365578200
2005/1/27,13636.74023,13750.48047,13596.41016,13628.91016,13628.91016,374447400
2005/1/28,13633.67969,13679.30957,13559.98047,13650.05957,13650.05957,268381200
2005/1/31,13625.23047,13762.86035,13581.19043,13721.69043,13721.69043,352642200
2005/2/1,13714.41992,13736.63965,13522.42969,13578.25977,13578.25977,407254000
2005/2/2,13573.63965,13607.87988,13454.40039,13555.79981,13555.79981,321787800
2005/2/3,13525.88965,13586.84961,13456.13965,13515.33008,13515.33008,404907400
2005/2/4,13495.70996,13623.59961,13470.48047,13585.16992,13585.16992,425729600
2005/2/7,13749.08008,13816.86035,13749.08008,13795,13795,383247000
2005/2/8,13806.55957,13863.99023,13788.33008,13845.62988,13845.62988,218206400
2005/2/14,14006.54004,14043.94043,13943.45996,14017.23047,14017.23047,425991600
2005/2/15,14042.37988,14065.66016,13978.24023,13995.83008,13995.83008,304097400
2005/2/16,14029.5,14044.83008,13962.48047,14015.49023,14015.49023,302049600
2005/2/17,14024.12988,14037.62012,13936.62988,13967.82031,13967.82031,256355000
2005/2/18,13933.91992,14093.42969,13898.91992,14087.87012,14087.87012,323290800
2005/2/21,14072.41016,14113.92969,14045.70996,14111.65039,14111.65039,282806200
2005/2/22,14095.88965,14118.23047,14022.05957,14090.51953,14090.51953,296063200
2005/2/23,13933.71973,13964.75977,13907.54004,13957.94043,13957.94043,357029600
2005/2/24,13970.63965,14060.91016,13956.13965,14060.91016,14060.91016,301496800
2005/2/25,14103.12012,14207.53027,14103.12012,14157.08984,14157.08984,418029600
